  12.2500 3.3886e+05 2.6446e+05 4.4598e+05 2.6781e+05 4.4145e+05 3.1679e+05 3.6966e+05 4.1688e+05 2.8530e+05 3.5732e+05 2.6781e+05 4.4145e+05 3.1219e+05
  12.5000 3.0699e+05 2.4024e+05 4.0249e+05 2.4318e+05 3.9847e+05 2.8739e+05 3.3443e+05 3.7719e+05 2.5858e+05 3.2315e+05 2.4318e+05 3.9847e+05 2.8362e+05
  12.7500 2.7853e+05 2.1855e+05 3.6386e+05 2.2114e+05 3.6027e+05 2.6110e+05 3.0302e+05 3.4179e+05 2.3472e+05 2.9272e+05 2.2114e+05 3.6027e+05 2.5804e+05
  13.0000 2.5308e+05 1.9911e+05 3.2947e+05 2.0140e+05 3.2626e+05 2.3754e+05 2.7497e+05 3.1016e+05 2.1337e+05 2.6557e+05 2.0140e+05 3.2626e+05 2.3509e+05
  13.2500 2.3028e+05 1.8165e+05 2.9880e+05 1.8367e+05 2.9594e+05 2.1641e+05 2.4989e+05 2.8186e+05 1.9424e+05 2.4131e+05 1.8367e+05 2.9594e+05 2.1448e+05
  13.5000 2.0983e+05 1.6595e+05 2.7141e+05 1.6774e+05 2.6884e+05 1.9743e+05 2.2743e+05 2.5651e+05 1.7708e+05 2.1959e+05 1.6774e+05 2.6884e+05 1.9593e+05
  13.7500 1.9146e+05 1.5182e+05 2.4690e+05 1.5340e+05 2.4459e+05 1.8035e+05 2.0729e+05 2.3378e+05 1.6166e+05 2.0011e+05 1.5340e+05 2.4459e+05 1.7922e+05
  14.0000 1.7495e+05 1.3906e+05 2.2492e+05 1.4048e+05 2.2285e+05 1.6497e+05 1.8921e+05 2.1337e+05 1.4778e+05 1.8262e+05 1.4048e+05 2.2285e+05 1.6413e+05
  14.2500 1.6008e+05 1.2755e+05 2.0520e+05 1.2881e+05 2.0332e+05 1.5111e+05 1.7295e+05 1.9503e+05 1.3528e+05 1.6688e+05 1.2881e+05 2.0332e+05 1.5050e+05
  14.5000 1.4667e+05 1.1713e+05 1.8746e+05 1.1826e+05 1.8577e+05 1.3859e+05 1.5831e+05 1.7853e+05 1.2400e+05 1.5271e+05 1.1826e+05 1.8577e+05 1.3816e+05
  14.7500 1.3455e+05 1.0769e+05 1.7149e+05 1.0870e+05 1.6995e+05 1.2726e+05 1.4509e+05 1.6362e+05 1.1380e+05 1.3991e+05 1.0870e+05 1.6995e+05 1.2698e+05
  15.0000 1.2358e+05 9.9110e+04 1.5707e+05 1.0001e+05 1.5568e+05 1.1699e+05 1.3314e+05 1.5012e+05 1.0456e+05 1.2835e+05 1.0001e+05 1.5568e+05 1.1684e+05
  15.2500 1.1363e+05 9.1313e+04 1.4405e+05 9.2124e+04 1.4278e+05 1.0767e+05 1.2232e+05 1.3789e+05 9.6179e+04 1.1788e+05 9.2124e+04 1.4278e+05 1.0762e+05
  15.5000 1.0460e+05 8.4215e+04 1.3227e+05 8.4945e+04 1.3111e+05 9.9195e+04 1.1250e+05 1.2680e+05 8.8569e+04 1.0840e+05 8.4945e+04 1.3111e+05 9.9236e+04
  15.7500 9.6391e+04 7.7748e+04 1.2159e+05 7.8405e+04 1.2054e+05 9.1485e+04 1.0359e+05 1.1672e+05 8.1650e+04 9.9788e+04 7.8405e+04 1.2054e+05 9.1600e+04
